gene,origin_mechanism,parental_gene
YOR394W,DNA-based duplication,YAR020C
YOR394W,DNA-based duplication,YCR104W
YOR394W,DNA-based duplication,YOL161C
YOR394W,DNA-based duplication,YNR076W
YOR394W,DNA-based duplication,YAL068C
YOR394W,DNA-based duplication,YGL261C
YOR396W,retroposition,YIL177C
YOR396W,DNA-based duplication like,YLR462W
YOR396W,retroposition,YHL050C
YOR396W,DNA-based duplication,YDR545W
YOR396W,DNA-based duplication,YHR219W
YOR396W,DNA-based duplication,YBL112C
YOR396W,DNA-based duplication,YEL077C
YOR396W,DNA-based duplication,YFL066C
YOR396W,DNA-based duplication,YHR218W-A
YOR396W,retroposition,YLL066C
YOR396W,retroposition,YBL111C
YOR396W,DNA-based duplication,YER190W
YOR396W,retroposition,YML133C
YOR396W,retroposition,YJL225C
YOR396W,DNA-based duplication,YLR467W
YOR396W,retroposition,YPL283C
YOR396W,DNA-based duplication,YPR204W
YOR396W,DNA-based duplication,YBL113C
YOR396W,DNA-based duplication,YLR466W
YOR396W,retroposition,YGR296W
YOR396W,retroposition,YLL067C
YOR396W,retroposition,YNL339C
YOR396W,retroposition,YHR218W
YOR396C-A,DNA-based duplication,YFL068W
YOR396C-A,DNA-based duplication,YHR219C-A
YOR396C-A,DNA-based duplication,YGR296C-B
YOR396C-A,DNA-based duplication,YLR466C-A
YOR396C-A,DNA-based duplication,YLL067W-A
YOR396C-A,DNA-based duplication,YJL225W-A
YOR396C-A,DNA-based duplication,YER190C-B
YOR396C-A,DNA-based duplication,YLR467C-A
YOR396C-A,DNA-based duplication,YDR545C-A
YOR396C-A,DNA-based duplication,YBL113W-A
YOR396C-A,DNA-based duplication,YHL050W-A
YOR396C-A,DNA-based duplication,YML133W-B
YOR396C-A,DNA-based duplication,YPL283W-B
YOR396C-A,DNA-based duplication,YLL066W-A
YOR396C-A,DNA-based duplication,YNL339W-B
YOR396C-A,DNA-based duplication,YEL077W-A
YOR396C-A,DNA-based duplication,YPR204C-A
YOR396C-A,DNA-based duplication,YIL177W-A
YPL283C,DNA-based duplication,YIL177C
YPL283C,DNA-based duplication like,YLR462W
YPL283C,DNA-based duplication,YHL050C
YPL283C,DNA-based duplication,YDR545W
YPL283C,DNA-based duplication,YHR219W
YPL283C,DNA-based duplication,YBL112C
YPL283C,DNA-based duplication,YEL077C
YPL283C,DNA-based duplication,YFL066C
YPL283C,DNA-based duplication,YHR218W-A
YPL283C,DNA-based duplication,YLL066C
YPL283C,DNA-based duplication,YBL111C
YPL283C,DNA-based duplication,YER190W
YPL283C,DNA-based duplication,YML133C
YPL283C,DNA-based duplication,YJL225C
YPL283C,DNA-based duplication,YLR467W
YPL283C,DNA-based duplication,YPR204W
YPL283C,DNA-based duplication,YBL113C
YPL283C,DNA-based duplication,YLR466W
YPL283C,DNA-based duplication,YOR396W
YPL283C,DNA-based duplication,YGR296W
YPL283C,DNA-based duplication,YLL067C
YPL283C,DNA-based duplication,YNL339C
YPL283C,DNA-based duplication,YHR218W
YPL283W-B,DNA-based duplication,YFL068W
YPL283W-B,DNA-based duplication,YHR219C-A
YPL283W-B,DNA-based duplication,YGR296C-B
YPL283W-B,DNA-based duplication,YLR466C-A
YPL283W-B,DNA-based duplication,YOR396C-A
YPL283W-B,DNA-based duplication,YLL067W-A
YPL283W-B,DNA-based duplication,YJL225W-A
YPL283W-B,DNA-based duplication,YLR467C-A
YPL283W-B,DNA-based duplication,YDR545C-A
YPL283W-B,DNA-based duplication,YBL113W-A
YPL283W-B,DNA-based duplication,YHL050W-A
YPL283W-B,DNA-based duplication,YML133W-B
YPL283W-B,DNA-based duplication,YLL066W-A
YPL283W-B,DNA-based duplication,YER190C-B
YPL283W-B,DNA-based duplication,YNL339W-B
YPL283W-B,DNA-based duplication,YEL077W-A
YPL283W-B,DNA-based duplication,YPR204C-A
YPL283W-B,DNA-based duplication,YIL177W-A
YPL283W-A,DNA-based duplication,YER190C-A
YPL283W-A,DNA-based duplication,YGR296C-A
YPL283W-A,DNA-based duplication,YNL339W-A
YPL283W-A,DNA-based duplication,YML133W-A
YPL282C,DNA-based duplication,YLR461W
YPL282C,DNA-based duplication,YMR325W
YPL282C,DNA-based duplication,YIR041W
YPL282C,DNA-based duplication,YLR037C
YPL282C,DNA-based duplication,YGR294W
YPL282C,DNA-based duplication,YIL176C
YPL282C,DNA-based duplication,YEL049W
YPL282C,DNA-based duplication,YLL064C
YPL282C,DNA-based duplication,YKL224C
YPL282C,DNA-based duplication,YDR542W
YPL282C,DNA-based duplication like,YJR151C
YPL282C,DNA-based duplication like,YJR150C
YPL282C,DNA-based duplication,YHL046C
YPL282C,DNA-based duplication,YBR301W
YPL282C,DNA-based duplication,YFL020C
YPL282C,DNA-based duplication,YBL108C-A
YPL282C,DNA-based duplication,YJL223C
YPL282C,DNA-based duplication,YLL025W
YPL282C,DNA-based duplication,YAR020C
YPL282C,DNA-based duplication,YCR104W
YPL282C,DNA-based duplication,YOL161C
YPL282C,DNA-based duplication,YNR076W
YPL282C,DNA-based duplication,YOR394W
YPL282C,DNA-based duplication,YAL068C
YPL282C,DNA-based duplication,YGL261C
YPL281C,DNA-based duplication,YGR254W
YPL281C,DNA-based duplication,YMR323W
YPL281C,DNA-based duplication,YHR174W
YPL281C,DNA-based duplication,YOR393W
YPL257W,DNA-based duplication like,YIL029C
YPL257W,DNA-based duplication like,YPR071W
YIL029C,DNA-based duplication like,YPL257W
YIL029C,DNA-based duplication like,YPR071W
YPL253C,DNA-based duplication like,YMR198W
YPL216W,DNA-based duplication like,YGL133W
YGR296W,DNA-based duplication,YIL177C
YGR296W,DNA-based duplication like,YLR462W
YGR296W,DNA-based duplication,YHL050C
YGR296W,DNA-based duplication,YDR545W
YGR296W,DNA-based duplication,YHR219W
YGR296W,DNA-based duplication,YBL112C
YGR296W,DNA-based duplication,YEL077C
YGR296W,DNA-based duplication,YFL066C
YGR296W,DNA-based duplication,YHR218W-A
YGR296W,DNA-based duplication,YLL066C
YGR296W,DNA-based duplication,YBL111C
YGR296W,DNA-based duplication,YER190W
YGR296W,DNA-based duplication,YML133C
YGR296W,DNA-based duplication,YJL225C
YGR296W,DNA-based duplication,YLR467W
YGR296W,DNA-based duplication,YPL283C
YGR296W,DNA-based duplication,YPR204W
YGR296W,DNA-based duplication,YBL113C
YGR296W,DNA-based duplication,YLR466W
YGR296W,DNA-based duplication,YOR396W
YGR296W,DNA-based duplication,YLL067C
YGR296W,DNA-based duplication,YNL339C
YGR296W,DNA-based duplication,YHR218W
YGR296C-A,DNA-based duplication,YER190C-A
YGR296C-A,DNA-based duplication,YNL339W-A
YGR296C-A,DNA-based duplication,YPL283W-A
YGR296C-A,DNA-based duplication,YML133W-A
YER190C-A,DNA-based duplication,YGR296C-A
YER190C-A,DNA-based duplication,YNL339W-A
YER190C-A,DNA-based duplication,YPL283W-A
YER190C-A,DNA-based duplication,YML133W-A
YGR296C-B,DNA-based duplication,YFL068W
YGR296C-B,DNA-based duplication,YHR219C-A
YGR296C-B,DNA-based duplication,YLR466C-A
YGR296C-B,DNA-based duplication,YLL067W-A
YGR296C-B,DNA-based duplication,YJL225W-A
YGR296C-B,DNA-based duplication,YOR396C-A
YGR296C-B,DNA-based duplication,YLR467C-A
YGR296C-B,DNA-based duplication,YDR545C-A
YGR296C-B,DNA-based duplication,YBL113W-A
YGR296C-B,DNA-based duplication,YHL050W-A
YGR296C-B,DNA-based duplication,YML133W-B
YGR296C-B,DNA-based duplication,YLL066W-A
YGR296C-B,DNA-based duplication,YPL283W-B
YGR296C-B,DNA-based duplication,YER190C-B
YGR296C-B,DNA-based duplication,YNL339W-B
YGR296C-B,DNA-based duplication,YEL077W-A
YGR296C-B,DNA-based duplication,YPR204C-A
YGR296C-B,DNA-based duplication,YIL177W-A
YHL050C,DNA-based duplication like,YIL177C
YHL050C,DNA-based duplication like,YLR462W
YHL050C,DNA-based duplication like,YDR545W
YHL050C,DNA-based duplication,YHR219W
YHL050C,DNA-based duplication like,YBL112C
YHL050C,DNA-based duplication like,YEL077C
YHL050C,DNA-based duplication,YFL066C
YHL050C,DNA-based duplication like,YHR218W-A
YHL050C,DNA-based duplication,YLL066C
YHL050C,DNA-based duplication like,YBL111C
YHL050C,DNA-based duplication like,YER190W
YHL050C,DNA-based duplication like,YML133C
YHL050C,DNA-based duplication like,YJL225C
YHL050C,DNA-based duplication like,YLR467W
YHL050C,DNA-based duplication like,YPL283C
YHL050C,DNA-based duplication,YPR204W
YHL050C,DNA-based duplication,YBL113C
YHL050C,DNA-based duplication like,YLR466W
YHL050C,DNA-based duplication like,YOR396W
YHL050C,DNA-based duplication like,YGR296W
YHL050C,DNA-based duplication like,YLL067C
YHL050C,DNA-based duplication like,YNL339C
YHL050C,DNA-based duplication like,YHR218W
YHL050W-A,DNA-based duplication,YFL068W
YHL050W-A,DNA-based duplication,YHR219C-A
YHL050W-A,DNA-based duplication,YGR296C-B
YHL050W-A,DNA-based duplication,YLR466C-A
YHL050W-A,DNA-based duplication,YLL067W-A
YHL050W-A,DNA-based duplication,YJL225W-A
YHL050W-A,DNA-based duplication,YOR396C-A
YHL050W-A,DNA-based duplication,YLR467C-A
YHL050W-A,DNA-based duplication,YDR545C-A
YHL050W-A,DNA-based duplication,YBL113W-A
YHL050W-A,DNA-based duplication,YPL283W-B
YHL050W-A,DNA-based duplication,YML133W-B
YHL050W-A,DNA-based duplication,YLL066W-A
YHL050W-A,DNA-based duplication,YER190C-B
YHL050W-A,DNA-based duplication,YNL339W-B
YHL050W-A,DNA-based duplication,YEL077W-A
YHL050W-A,DNA-based duplication,YPR204C-A
YHL050W-A,DNA-based duplication,YIL177W-A
YHL049C,DNA-based duplication,YEL075C
YHL049C,DNA-based duplication,YFL065C
YHL049C,DNA-based duplication,YFL064C
YHL049C,DNA-based duplication,YPR203W
YHL049C,retroposition,YPR202W
YHL049C,DNA-based duplication like,YEL076C
YHL049C,DNA-based duplication,YER189W
YHL048W,DNA-based duplication,YDL248W
YHL048W,DNA-based duplication,YML132W
YHL048W,DNA-based duplication,YBR302C
YHL048W,DNA-based duplication,YGR295C
YHL048W,DNA-based duplication like,YHL043W
YHL048W,DNA-based duplication,YJR161C
YHL048W,DNA-based duplication like,YNR075W
YHL048W,DNA-based duplication,YNL336W
YHL048W,DNA-based duplication,YFL062W
YHL048W,DNA-based duplication like,YHL042W
YHL048W,DNA-based duplication,YKL219W
YHL048W,DNA-based duplication like,YGL263W
YHL043W,DNA-based duplication like,YDL248W
YHL043W,DNA-based duplication like,YML132W
YHL043W,DNA-based duplication like,YBR302C
YHL043W,DNA-based duplication like,YHL048W
YHL043W,DNA-based duplication like,YGR295C
YHL043W,DNA-based duplication like,YJR161C
YHL043W,DNA-based duplication like,YNR075W
YHL043W,DNA-based duplication like,YNL336W
YHL043W,DNA-based duplication like,YFL062W
YHL043W,DNA-based duplication like,YHL042W
YHL043W,DNA-based duplication like,YKL219W
YHL043W,DNA-based duplication like,YGL263W
YHL042W,DNA-based duplication like,YDL248W
YHL042W,DNA-based duplication like,YML132W
YHL042W,DNA-based duplication like,YBR302C
YHL042W,DNA-based duplication like,YHL048W
YHL042W,DNA-based duplication like,YHL043W
YHL042W,DNA-based duplication like,YGR295C
YHL042W,DNA-based duplication like,YJR161C
YHL042W,DNA-based duplication like,YNL336W
YHL042W,DNA-based duplication like,YNR075W
YHL042W,DNA-based duplication like,YFL062W
YHL042W,DNA-based duplication like,YKL219W
YHL042W,DNA-based duplication like,YGL263W
YHL047C,DNA-based duplication like,YEL065W
YHL047C,DNA-based duplication,YHL040C
YHL047C,DNA-based duplication like,YCL073C
YHL047C,DNA-based duplication like,YOL158C
YHL047C,DNA-based duplication like,YKR106W
YHL046C,DNA-based duplication,YLR461W
YHL046C,DNA-based duplication,YMR325W
YHL046C,DNA-based duplication,YIR041W
YHL046C,DNA-based duplication,YLR037C
YHL046C,DNA-based duplication,YGR294W
YHL046C,DNA-based duplication,YIL176C
YHL046C,DNA-based duplication,YEL049W
YHL046C,DNA-based duplication,YLL064C
YHL046C,DNA-based duplication,YKL224C
YHL046C,DNA-based duplication,YDR542W
YHL046C,DNA-based duplication like,YJR151C
YHL046C,DNA-based duplication like,YJR150C
YHL046C,DNA-based duplication,YPL282C
YHL046C,DNA-based duplication,YBR301W
YHL046C,DNA-based duplication,YFL020C
YHL046C,DNA-based duplication,YAR020C
YHL046C,DNA-based duplication,YLL025W
YHL046C,DNA-based duplication,YBL108C-A
YHL046C,DNA-based duplication,YJL223C
YHL046C,DNA-based duplication,YCR104W
YHL046C,DNA-based duplication,YNR076W
YHL046C,DNA-based duplication,YOL161C
YHL046C,DNA-based duplication,YOR394W
YHL046C,DNA-based duplication,YAL068C
YHL046C,DNA-based duplication,YGL261C
YHL044W,DNA-based duplication like,YAR033W
YHL044W,DNA-based duplication like,YCR007C
YHL044W,DNA-based duplication like,YAR028W
YHL044W,DNA-based duplication like,YAR031W
YHL044W,DNA-based duplication like,YAR027W
YHL044W,DNA-based duplication like,YAR023C
YHL044W,DNA-based duplication like,YGL053W
YHL044W,DNA-based duplication like,YGL051W
YHL017W,DNA-based duplication like,YKL039W
YHL012W,DNA-based duplication like,YKL035W
YLR154W-A,DNA-based duplication,YLR162W-A
YLR154W-B,de novo origination,YLR154W-B
YLR154W-C,de novo origination,YLR154W-C
YLR154W-E,de novo origination,YLR154W-E
YLR154C-H,DNA-based duplication,YLR159C-A
YLR154C-H,DNA-based duplication,YLR156C-A
YLR154C-H,DNA-based duplication,YLR157C-C
YLR155C,DNA-based duplication,YLR157C
YLR155C,DNA-based duplication,YLR160C
YLR155C,DNA-based duplication like,YDR321W
YLR155C,DNA-based duplication,YLR158C
YLR156C-A,DNA-based duplication,YLR159C-A
YLR156C-A,DNA-based duplication,YLR157C-C
YLR156C-A,DNA-based duplication,YLR154C-H
YLR157C,DNA-based duplication,YLR155C
YLR157C,DNA-based duplication,YLR160C
YLR157C,DNA-based duplication like,YDR321W
YLR157C,DNA-based duplication,YLR158C
YLR157W-D,DNA-based duplication,YLR156W
YLR157W-D,DNA-based duplication,YLR161W
YLR157W-D,DNA-based duplication,YLR159W
YLR157W-D,DNA-based duplication like,YLR157W-E
YLR156W,DNA-based duplication,YLR157W-D
YLR156W,DNA-based duplication,YLR161W
YLR156W,DNA-based duplication,YLR159W
YLR156W,DNA-based duplication,YLR157W-E
YLR157W-E,DNA-based duplication like,YLR157W-D
YLR157W-E,DNA-based duplication like,YLR156W
YLR157W-E,DNA-based duplication like,YLR161W
YLR157W-E,DNA-based duplication like,YLR159W
YLR157C-C,DNA-based duplication,YLR159C-A
YLR157C-C,DNA-based duplication,YLR156C-A
YLR157C-C,DNA-based duplication,YLR154C-H
YLR158C,DNA-based duplication,YLR155C
YLR158C,DNA-based duplication,YLR157C
YLR158C,DNA-based duplication,YLR160C
YLR158C,DNA-based duplication like,YDR321W
YLR159W,DNA-based duplication,YLR157W-D
YLR159W,DNA-based duplication,YLR156W
YLR159W,DNA-based duplication,YLR161W
YLR159W,DNA-based duplication,YLR157W-E
YLR159C-A,DNA-based duplication,YLR154C-H
YLR159C-A,DNA-based duplication,YLR156C-A
YLR159C-A,DNA-based duplication,YLR157C-C
YLR160C,DNA-based duplication,YLR155C
YLR160C,DNA-based duplication,YLR157C
YLR160C,DNA-based duplication like,YDR321W
YLR160C,DNA-based duplication,YLR158C
YLR161W,DNA-based duplication,YLR157W-D
YLR161W,DNA-based duplication,YLR156W
YLR161W,DNA-based duplication,YLR159W
YLR161W,DNA-based duplication,YLR157W-E
YLR162W-A,DNA-based duplication,YLR154W-A
YLR194C,de novo origination,YLR194C
YMR017W,DNA-based duplication like,YGR009C
YMR018W,DNA-based duplication like,YDR244W
YMR019W,de novo origination,YMR019W
YMR046W-A,DNA-based duplication,YGR122C-A
YMR046W-A,DNA-based duplication like,YLR334C
YMR046W-A,DNA-based duplication like,YOL106W
YMR046W-A,DNA-based duplication,YPR002C-A
YMR046W-A,DNA-based duplication,YCR018C-A
YMR046W-A,DNA-based duplication,YDR034C-A
YOL083W,DNA-based duplication like,YOL082W
YOL082W,DNA-based duplication like,YOL083W
YOL017W,DNA-based duplication like,YFR013W
YOR009W,DNA-based duplication,YER011W
YOR009W,DNA-based duplication like,YBR067C
YOR009W,DNA-based duplication like,YIL011W
YOR009W,DNA-based duplication,YOR010C
YOR010C,DNA-based duplication,YER011W
YOR010C,DNA-based duplication like,YBR067C
YOR010C,DNA-based duplication like,YIL011W
YOR010C,DNA-based duplication like,YOR009W
YFL054C,de novo origination,YFL054C
YFL053W,DNA-based duplication like,YML070W
YFL052W,DNA-based duplication,YPR196W
YFL052W,DNA-based duplication,YBR297W
YFL052W,DNA-based duplication,YGR288W
YBR297W,DNA-based duplication,YPR196W
YBR297W,DNA-based duplication,YFL052W
YBR297W,DNA-based duplication,YGR288W
YFL051C,DNA-based duplication like,YHR211W
YFL051C,DNA-based duplication like,YAL064C-A
YFL051C,DNA-based duplication like,YHR213W
YFL051C,DNA-based duplication like,YKR102W
YFL051C,DNA-based duplication like,YAR050W
YFL051C,DNA-based duplication like,YAL063C
YFL051C,DNA-based duplication like,YHR212W-A
YFL020C,DNA-based duplication,YLR461W
YFL020C,DNA-based duplication,YMR325W
YFL020C,DNA-based duplication,YIR041W
YFL020C,DNA-based duplication,YLR037C
YFL020C,DNA-based duplication,YGR294W
YFL020C,DNA-based duplication,YIL176C
YFL020C,DNA-based duplication,YEL049W
YFL020C,DNA-based duplication,YLL064C
YFL020C,DNA-based duplication,YKL224C
YFL020C,DNA-based duplication,YDR542W
YFL020C,DNA-based duplication like,YJR151C
YFL020C,DNA-based duplication like,YJR150C
YFL020C,DNA-based duplication,YHL046C
YFL020C,DNA-based duplication,YPL282C
YFL020C,DNA-based duplication,YBR301W
YFL020C,DNA-based duplication,YBL108C-A
YFL020C,DNA-based duplication,YLL025W
YFL020C,DNA-based duplication,YAR020C
YFL020C,DNA-based duplication,YJL223C
YFL020C,DNA-based duplication,YCR104W
YFL020C,DNA-based duplication,YNR076W
YFL020C,DNA-based duplication,YOL161C
YFL020C,DNA-based duplication,YOR394W
YFL020C,DNA-based duplication,YAL068C
YFL020C,DNA-based duplication,YGL261C
YFR012W-A,DNA-based duplication like,YFR012W
YFR012W,DNA-based duplication like,YFR012W-A
YFR017C,de novo origination,YFR017C
YFR039C,DNA-based duplication like,YGL228W
YHR054W-A,DNA-based duplication,YHR052W-A
YHR052W-A,DNA-based duplication,YHR054W-A
YHR055C,DNA-based duplication,YHR053C
YHR053C,DNA-based duplication,YHR055C
YHR061C,DNA-based duplication like,YDR309C
YHR091C,DNA-based duplication,YDR341C
YHR092C,DNA-based duplication,YMR011W
YHR092C,DNA-based duplication,YDL245C
YHR092C,DNA-based duplication,YDR342C
YHR092C,DNA-based duplication,YHR096C
YHR092C,DNA-based duplication,YLR081W
YHR092C,DNA-based duplication,YHR094C
YHR092C,DNA-based duplication,YJL214W
YHR092C,DNA-based duplication,YOL156W
YHR092C,DNA-based duplication,YFL011W
YHR092C,DNA-based duplication,YDR343C
YHR092C,DNA-based duplication,YJL219W
YHR092C,DNA-based duplication,YEL069C
YHR092C,DNA-based duplication,YDR345C
YHR092C,DNA-based duplication,YJR158W
YHR117W,DNA-based duplication like,YNL121C
YHR133C,DNA-based duplication like,YNL156C
YHR145C,DNA-based duplication,YOR192C-C
YHR145C,DNA-based duplication like,YIL060W
YHR145C,DNA-based duplication,YER138W-A
YER138W-A,DNA-based duplication like,YIL060W
YER138W-A,DNA-based duplication like,YHR145C
YER138W-A,DNA-based duplication like,YOR192C-C
YGR191W,DNA-based duplication like,YKR039W
YGR248W,DNA-based duplication like,YCR073W-A
YGR248W,DNA-based duplication like,YHR163W
YGR248W,DNA-based duplication like,YNR034W
YGR273C,DNA-based duplication like,YMR295C
YGR283C,DNA-based duplication like,YMR310C
YGR287C,DNA-based duplication,YIL172C
YGR287C,DNA-based duplication,YJL216C
YGR287C,DNA-based duplication,YBR299W
YGR287C,DNA-based duplication,YGR292W
YGR287C,DNA-based duplication,YOL157C
YGR288W,DNA-based duplication,YFL052W
YGR288W,DNA-based duplication,YBR297W
YGR288W,DNA-based duplication,YPR196W
YGR289C,DNA-based duplication,YBR298C
YGR289C,DNA-based duplication,YJR160C
YGR291C,DNA-based duplication,YBR298C-A
YBR298C-A,DNA-based duplication,YGR291C
YGR292W,DNA-based duplication,YIL172C
YGR292W,DNA-based duplication,YJL216C
YGR292W,DNA-based duplication,YBR299W
YGR292W,DNA-based duplication,YGR287C
YGR292W,DNA-based duplication,YOL157C
YGR293C,DNA-based duplication,YBR300C
YBR300C,DNA-based duplication,YGR293C
YGR294W,DNA-based duplication,YLR461W
YGR294W,DNA-based duplication,YMR325W
YGR294W,DNA-based duplication,YIR041W
YGR294W,DNA-based duplication,YLR037C
YGR294W,DNA-based duplication,YIL176C
YGR294W,DNA-based duplication,YEL049W
YGR294W,DNA-based duplication,YLL064C
YGR294W,DNA-based duplication,YKL224C
YGR294W,DNA-based duplication,YDR542W
YGR294W,DNA-based duplication like,YJR151C
YGR294W,DNA-based duplication like,YJR150C
YGR294W,DNA-based duplication,YHL046C
YGR294W,DNA-based duplication,YPL282C
YGR294W,DNA-based duplication,YBR301W
YGR294W,DNA-based duplication,YFL020C
YGR294W,DNA-based duplication,YAR020C
YGR294W,DNA-based duplication,YLL025W
YGR294W,DNA-based duplication,YBL108C-A
YGR294W,DNA-based duplication,YJL223C
YGR294W,DNA-based duplication,YCR104W
YGR294W,DNA-based duplication,YNR076W
YGR294W,DNA-based duplication,YOL161C
YGR294W,DNA-based duplication,YOR394W
YGR294W,DNA-based duplication,YAL068C
YGR294W,DNA-based duplication,YGL261C
YGR295C,DNA-based duplication,YDL248W
YGR295C,DNA-based duplication,YML132W
YGR295C,DNA-based duplication,YBR302C
YGR295C,DNA-based duplication,YHL048W
YGR295C,DNA-based duplication like,YHL043W
YGR295C,DNA-based duplication,YJR161C
YGR295C,DNA-based duplication like,YNR075W
YGR295C,DNA-based duplication,YNL336W
YGR295C,DNA-based duplication,YFL062W
YGR295C,DNA-based duplication like,YHL042W
YGR295C,DNA-based duplication,YKL219W
YGR295C,DNA-based duplication like,YGL263W
YGR122C-A,DNA-based duplication like,YLR334C
YGR122C-A,DNA-based duplication like,YOL106W
YGR122C-A,DNA-based duplication,YPR002C-A
YGR122C-A,DNA-based duplication like,YCR018C-A
YGR122C-A,DNA-based duplication,YDR034C-A
YGR122C-A,DNA-based duplication,YMR046W-A
YGR136W,DNA-based duplication,YPR154W
YGR146C,de novo origination,YGR146C
YGR177C,DNA-based duplication like,YOR377W
YGR180C,DNA-based duplication like,YJL026W
YLR028C,DNA-based duplication,YMR120C
YLR031W,DNA-based duplication like,YLR030W
YLR030W,DNA-based duplication like,YLR031W
YLR036C,DNA-based duplication like,YIL089W
YIL089W,DNA-based duplication like,YLR036C
YLR037C,DNA-based duplication,YLR461W
YLR037C,DNA-based duplication,YMR325W
YLR037C,DNA-based duplication,YIR041W
YLR037C,DNA-based duplication,YGR294W
YLR037C,DNA-based duplication,YIL176C
YLR037C,DNA-based duplication,YEL049W
YLR037C,DNA-based duplication,YLL064C
YLR037C,DNA-based duplication,YKL224C
YLR037C,DNA-based duplication,YDR542W
YLR037C,DNA-based duplication like,YJR151C
YLR037C,DNA-based duplication like,YJR150C
YLR037C,DNA-based duplication,YHL046C
YLR037C,DNA-based duplication,YPL282C
YLR037C,DNA-based duplication,YBR301W
YLR037C,DNA-based duplication,YFL020C
YLR037C,DNA-based duplication,YAR020C
YLR037C,DNA-based duplication,YJL223C
YLR037C,DNA-based duplication,YBL108C-A
YLR037C,DNA-based duplication,YLL025W
YLR037C,DNA-based duplication,YCR104W
YLR037C,DNA-based duplication,YNR076W
YLR037C,DNA-based duplication,YOL161C
YLR037C,DNA-based duplication,YOR394W
YLR037C,DNA-based duplication,YAL068C
YLR037C,DNA-based duplication,YGL261C
YLR046C,de novo origination,YLR046C
YLR049C,de novo origination,YLR049C
YGL032C,de novo origination,YGL032C
YGR066C,DNA-based duplication like,YBR105C
YGR070W,DNA-based duplication like,YLR371W
YGR071C,DNA-based duplication like,YLR373C
YIL142C-A,de novo origination,YIL142C-A
YIL114C,DNA-based duplication like,YNL055C
YIL113W,DNA-based duplication like,YNL053W
YIL102C,DNA-based duplication like,YIL014C-A
YIL014C-A,DNA-based duplication like,YIL102C
YIL082W,de novo origination,YIL082W
YIL060W,DNA-based duplication,YOR192C-C
YIL060W,DNA-based duplication,YHR145C
YIL060W,DNA-based duplication,YER138W-A
YIL050W,DNA-based duplication like,YOL001W
YIL050W,DNA-based duplication like,YER059W
YKL091C,retroposition,YMR079W
YKL083W,de novo origination,YKL083W
YKL071W,de novo origination,YKL071W
YKL070W,de novo origination,YKL070W
YKL068W-A,de novo origination,YKL068W-A
YKL043W,DNA-based duplication like,YMR016C
YNL034W,DNA-based duplication,YNL018C
YNL018C,DNA-based duplication,YNL034W
YNL033W,DNA-based duplication,YNL019C
YNL019C,DNA-based duplication,YNL033W
YNL024C,de novo origination,YNL024C
YCL001W-B,DNA-based duplication like,YNL001W
YNR024W,de novo origination,YNR024W
YNR034W-A,de novo origination,YNR034W-A
YNR047W,DNA-based duplication like,YBR028C
YNR047W,DNA-based duplication,YCR091W
YGL138C,de novo origination,YGL138C
YGL120C,DNA-based duplication like,YER013W
YGL120C,DNA-based duplication like,YKR086W
YGL120C,DNA-based duplication like,YNR011C
YGL096W,DNA-based duplication like,YPL177C
YGL063W,DNA-based duplication like,YPL212C
YGL053W,DNA-based duplication,YAR033W
YGL053W,DNA-based duplication like,YCR007C
YGL053W,DNA-based duplication like,YAR028W
YGL053W,DNA-based duplication like,YHL044W
YGL053W,DNA-based duplication,YAR031W
YGL053W,DNA-based duplication like,YAR027W
YGL053W,DNA-based duplication like,YAR023C
YGL053W,DNA-based duplication,YGL051W
YGL051W,DNA-based duplication,YAR033W
YGL051W,DNA-based duplication like,YCR007C
YGL051W,DNA-based duplication like,YAR028W
YGL051W,DNA-based duplication like,YHL044W
YGL051W,DNA-based duplication like,YAR031W
YGL051W,DNA-based duplication like,YAR027W
YGL051W,DNA-based duplication like,YAR023C
YGL051W,DNA-based duplication,YGL053W
YPR042C,DNA-based duplication like,YJR091C
YPR071W,DNA-based duplication,YIL029C
YPR071W,DNA-based duplication like,YPL257W
YPR081C,DNA-based duplication,YBR121C
YPR111W,DNA-based duplication,YGR092W
YPR111W,DNA-based duplication like,YNL161W
YJR147W,de novo origination,YJR147W
YLL060C,de novo origination,YLL060C
YLL052C,de novo origination,YLL052C
YLR313C,de novo origination,YLR313C
YOR076C,de novo origination,YOR076C
YPR027C,de novo origination,YPR027C
YER011W,DNA-based duplication like,YBR067C
YER011W,DNA-based duplication like,YOR009W
YER011W,DNA-based duplication like,YIL011W
YER011W,DNA-based duplication,YOR010C
YER013W,DNA-based duplication like,YGL120C
YER013W,DNA-based duplication like,YKR086W
YER013W,DNA-based duplication like,YNR011C
YER031C,DNA-based duplication,YGL210W
YER053C-A,de novo origination,YER053C-A
YER076C,de novo origination,YER076C
YER093C-A,DNA-based duplication like,YER093C
YDR518W,DNA-based duplication like,YCL043C
YDR536W,de novo origination,YDR536W
YDR538W,de novo origination,YDR538W
YDR539W,de novo origination,YDR539W
YDR542W,DNA-based duplication,YLR461W
YDR542W,DNA-based duplication,YMR325W
YDR542W,DNA-based duplication,YIR041W
YDR542W,DNA-based duplication,YLR037C
YDR542W,DNA-based duplication,YGR294W
YDR542W,DNA-based duplication,YIL176C
YDR542W,DNA-based duplication,YEL049W
YDR542W,DNA-based duplication,YLL064C
YDR542W,DNA-based duplication,YKL224C
YDR542W,DNA-based duplication like,YJR151C
