"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"Q08438" "OTHER" "1" "VHS3" "S. cerevisiae" "Viable in a Hal3 Sit4 background" "2025" "YOR054C" "S000005580" "ORF"
"P40573" "OTHER" "1" "MET28" "S. cerevisiae" "METhionine" "564" "YIR017C" "S000001456" "ORF"
"Q03144" "OTHER" "1" "SNO1" "S. cerevisiae" "SNZ proximal Open reading frame" "675" "YMR095C" "S000004701" "ORF"
"P38969" "OTHER" "1" "PNT1" "S. cerevisiae" "PeNTamidine resistance" "1272" "YOR266W" "S000005792" "ORF"
"P49957" "OTHER" "1" "TRM9" "S. cerevisiae" "TRna Methyltransferase" "840" "YML014W" "S000004476" "ORF"
"P53438" "OTHER" "1" "SOK2" "S. cerevisiae" "Suppressor Of Kinase" "2358" "YMR016C" "S000004618" "ORF"
"P46948" "OTHER" "1" "SKI6" "S. cerevisiae" "SuperKIller" "741" "YGR195W" "S000003427" "ORF"
"P20048" "OTHER" "1" "SEC59" "S. cerevisiae" "SECretory" "1560" "YMR013C" "S000004615" "ORF"
"P22515" "OTHER" "1" "UBA1" "S. cerevisiae" "UBiquitin Activating" "3075" "YKL210W" "S000001693" "ORF"
"Q04772" "OTHER" "1" "IRC21" "S. cerevisiae" "Increased Recombination Centers" "606" "YMR073C" "S000004677" "ORF"
"P40574" "OTHER" "1" "YAP5" "S. cerevisiae" "Yeast AP-1" "738" "YIR018W" "S000001457" "ORF"
"Q12280" "OTHER" "1" "IQG1" "S. cerevisiae" "IQGAP-related protein" "4488" "YPL242C" "S000006163" "ORF"
"P38863" "OTHER" "1" "SPC97" "S. cerevisiae" "Spindle Pole Component" "2472" "YHR172W" "S000001215" "ORF"
"P47171" "OTHER" "1" "HIR3" "S. cerevisiae" "HIstone Regulation" "4947" "YJR140C" "S000003901" "ORF"
"P08018" "OTHER" "1" "PBS2" "S. cerevisiae" "Polymyxin B Sensitivity" "2007" "YJL128C" "S000003664" "ORF"
"P19541" "OTHER" "1" "RDS2" "S. cerevisiae" "Regulator of Drug Sensitivity" "1341" "YPL133C" "S000006054" "ORF"
"Q04089" "OTHER" "1" "DOT1" "S. cerevisiae" "Disruptor Of Telomeric silencing" "1749" "YDR440W" "S000002848" "ORF"
"Q08144" "OTHER" "1" "TLG2" "S. cerevisiae" "T-snare affecting a Late Golgi compartment" "1194" "YOL018C" "S000005378" "ORF"
"P01149" "OTHER" "1" "MF(ALPHA)1" "S. cerevisiae" "Mating Factor ALPHA" "498" "YPL187W" "S000006108" "ORF"
"P54861" "OTHER" "1" "DNM1" "S. cerevisiae" "DyNaMin-related" "2274" "YLL001W" "S000003924" "ORF"
"Q04773" "OTHER" "1" "SDD2" "S. cerevisiae" "Suppressor of Degenerative Death" "438" "YMR074C" "S000004678" "ORF"
"P38041" "OTHER" "1" "BOI1" "S. cerevisiae" "Bem1 (One) Interacting protein" "2943" "YBL085W" "S000000181" "ORF"
"P38122" "OTHER" "1" "ECM31" "S. cerevisiae" "ExtraCellular Mutant" "939" "YBR176W" "S000000380" "ORF"
"Q07418" "OTHER" "1" "PEX19" "S. cerevisiae" "PEroXisome related" "1029" "YDL065C" "S000002223" "ORF"
"P07270" "OTHER" "1" "PHO4" "S. cerevisiae" "PHOsphate metabolism" "939" "YFR034C" "S000001930" "ORF"
"P25583" "OTHER" "1" "KAR4" "S. cerevisiae" "KARyogamy" "1008" "YCL055W" "S000000560" "ORF"
"P38715" "OTHER" "1" "GRE3" "S. cerevisiae" "Genes de Respuesta a Estres (stress responsive genes)" "984" "YHR104W" "S000001146" "ORF"
"Q12450" "OTHER" "1" "ERP4" "S. cerevisiae" "Emp24p/Erv25p Related Protein" "624" "YOR016C" "S000005542" "ORF"
"Q12347" "OTHER" "1" "HRT3" "S. cerevisiae" "High level expression Reduces Ty3 transposition" "1035" "YLR097C" "S000004087" "ORF"
"P25360" "OTHER" "1" "PHO87" "S. cerevisiae" "PHOsphate metabolism" "2772" "YCR037C" "S000000633" "ORF"
"P20459" "OTHER" "1" "SUI2" "S. cerevisiae" "SUppressor of Initiator codon" "915" "YJR007W" "S000003767" "ORF"
"P32505" "OTHER" "1" "NAB2" "S. cerevisiae" "Nuclear polyAdenylated RNA-Binding" "1578" "YGL122C" "S000003090" "ORF"
"P03873" "OTHER" "1" "BI2" "S. cerevisiae" "" "2040" "Q0110" "S000007271" "ORF"
"P38191" "OTHER" "1" "MOH1" "S. cerevisiae" "" "417" "YBL049W" "S000000145" "ORF"
"P30283" "OTHER" "1" "CLB5" "S. cerevisiae" "CycLin B" "1308" "YPR120C" "S000006324" "ORF"
"P08566" "OTHER" "1" "ARO1" "S. cerevisiae" "AROmatic amino acid requiring" "4767" "YDR127W" "S000002534" "ORF"
"P38042" "OTHER" "1" "CDC27" "S. cerevisiae" "Cell Division Cycle" "2277" "YBL084C" "S000000180" "ORF"
"P07249" "OTHER" "1" "ARG80" "S. cerevisiae" "ARGinine requiring" "534" "YMR042W" "S000004645" "ORF"
"P38116" "OTHER" "1" "ARL1" "S. cerevisiae" "ADP-Ribosylation factor-Like" "552" "YBR164C" "S000000368" "ORF"
"P23833" "OTHER" "1" "SCO1" "S. cerevisiae" "Suppressor of Cytochrome Oxidase deficiency" "888" "YBR037C" "S000000241" "ORF"
"Q99247" "OTHER" "1" "DUF1" "S. cerevisiae" "DUB-associated Factor 1" "3351" "YOL087C" "S000005447" "ORF"
"P06704" "OTHER" "1" "CDC31" "S. cerevisiae" "Cell Division Cycle" "486" "YOR257W" "S000005783" "ORF"
"P15442" "OTHER" "1" "GCN2" "S. cerevisiae" "General Control Nonderepressible" "4980" "YDR283C" "S000002691" "ORF"
"P05375" "OTHER" "1" "OPI3" "S. cerevisiae" "OverProducer of Inositol" "621" "YJR073C" "S000003834" "ORF"
"P07283" "OTHER" "1" "SEC53" "S. cerevisiae" "SECretory" "765" "YFL045C" "S000001849" "ORF"
"P25596" "OTHER" "1" "GEX1" "S. cerevisiae" "Glutathione EXchanger" "1848" "YCL073C" "S000000575" "ORF"
"Q02825" "OTHER" "1" "SEN54" "S. cerevisiae" "Splicing ENdonuclease" "1404" "YPL083C" "S000006004" "ORF"
"P38123" "OTHER" "1" "SWD3" "S. cerevisiae" "Set1c, WD40 repeat protein" "948" "YBR175W" "S000000379" "ORF"
"P38124" "OTHER" "1" "FLR1" "S. cerevisiae" "FLuconazole Resistance" "1647" "YBR008C" "S000000212" "ORF"
"Q12269" "OTHER" "1" "" "S. cerevisiae" "" "" "YGR038C-B" "S000007408" "TransposableElementGene"
"Q02574" "OTHER" "1" "MEC3" "S. cerevisiae" "Mitosis Entry Checkpoint" "1425" "YLR288C" "S000004279" "ORF"
"P38920" "OTHER" "1" "MLH1" "S. cerevisiae" "MutL Homolog" "2310" "YMR167W" "S000004777" "ORF"
"P12887" "OTHER" "1" "UNG1" "S. cerevisiae" "Uracil DNA N-Glycosylase" "1080" "YML021C" "S000004483" "ORF"
"Q04491" "OTHER" "1" "SEC13" "S. cerevisiae" "SECretory" "894" "YLR208W" "S000004198" "ORF"
"P43562" "OTHER" "1" "" "S. cerevisiae" "" "1623" "YFL040W" "S000001854" "ORF"
"Q08581" "OTHER" "1" "SLK19" "S. cerevisiae" "Synthetic Lethal Kar3p" "2466" "YOR195W" "S000005721" "ORF"
"Q12001" "OTHER" "1" "ALG6" "S. cerevisiae" "Asparagine-Linked Glycosylation" "1635" "YOR002W" "S000005528" "ORF"
"P40434" "OTHER" "1" "" "S. cerevisiae" "" "5665" "YIL177C" "S000001439" "ORF"
"P33307" "OTHER" "1" "CSE1" "S. cerevisiae" "Chromosome SEgregation" "2883" "YGL238W" "S000003207" "ORF"
"P46969" "OTHER" "1" "RPE1" "S. cerevisiae" "Ribulose 5-Phosphate Epimerase" "717" "YJL121C" "S000003657" "ORF"
"P32492" "OTHER" "1" "MYO4" "S. cerevisiae" "MYOsin" "4416" "YAL029C" "S000000027" "ORF"
"Q04638" "OTHER" "1" "ITT1" "S. cerevisiae" "Inhibitor of Translation Termination" "1395" "YML068W" "S000004533" "ORF"
"P19073" "OTHER" "1" "CDC42" "S. cerevisiae" "Cell Division Cycle" "576" "YLR229C" "S000004219" "ORF"
"P31385" "OTHER" "1" "DEP1" "S. cerevisiae" "Disability in regulation of Expression of genes involved in Phospholipid biosynthesis" "1218" "YAL013W" "S000000011" "ORF"
"Q02774" "OTHER" "1" "SHR3" "S. cerevisiae" "Super high Histidine Resistant" "633" "YDL212W" "S000002371" "ORF"
"Q08224" "OTHER" "1" "THI20" "S. cerevisiae" "THIamine metabolism" "1656" "YOL055C" "S000005416" "ORF"
"P32580" "OTHER" "1" "SUV3" "S. cerevisiae" "SUppressor of Var1" "2214" "YPL029W" "S000005950" "ORF"
"P07866" "OTHER" "1" "LTE1" "S. cerevisiae" "Low Temperature Essential" "4308" "YAL024C" "S000000022" "ORF"
"P38193" "OTHER" "1" "PSY4" "S. cerevisiae" "Platinum SensitivitY" "1326" "YBL046W" "S000000142" "ORF"
"P32839" "OTHER" "1" "BCS1" "S. cerevisiae" "ubiquinol-cytochrome c reductase (bc1) Synthesis" "1371" "YDR375C" "S000002783" "ORF"
"P47100" "OTHER" "1" "" "S. cerevisiae" "" "" "YJR029W" "S000003790" "TransposableElementGene"
"P25594" "OTHER" "1" "VBA3" "S. cerevisiae" "Vacuolar Basic Amino acid transporter" "1377" "YCL069W" "S000000574" "ORF"
"P32794" "OTHER" "1" "AFG2" "S. cerevisiae" "ATPase Family Gene" "2343" "YLR397C" "S000004389" "ORF"
"P0CE00" "OTHER" "1" "MPH3" "S. cerevisiae" "Maltose Permease Homolog" "1809" "YJR160C" "S000003921" "ORF"
"P46951" "OTHER" "1" "YPP1" "S. cerevisiae" "alpha-sYnuclein Protective Protein" "2454" "YGR198W" "S000003430" "ORF"
"P54113" "OTHER" "1" "ADE16" "S. cerevisiae" "ADEnine" "1776" "YLR028C" "S000004018" "ORF"
"P43564" "OTHER" "1" "MIL1" "S. cerevisiae" "Medium adaptin-Interacting Ligand" "3222" "YFL034W" "S000001860" "ORF"
"P39016" "OTHER" "1" "MPT5" "S. cerevisiae" "Multicopy suppressor of Pop Two" "3220" "YGL178W" "S000003146" "ORF"
"P29311" "OTHER" "1" "BMH1" "S. cerevisiae" "Brain Modulosignalin Homolog" "804" "YER177W" "S000000979" "ORF"
"Q12156" "OTHER" "1" "AIM7" "S. cerevisiae" "Altered Inheritance rate of Mitochondria" "450" "YDR063W" "S000002470" "ORF"
"P32837" "OTHER" "1" "UGA4" "S. cerevisiae" "Utilization of GAba" "1716" "YDL210W" "S000002369" "ORF"
"P49334" "OTHER" "1" "TOM22" "S. cerevisiae" "Translocase of the Outer Mitochondrial membrane" "459" "YNL131W" "S000005075" "ORF"
"Q12418" "OTHER" "1" "GIS3" "S. cerevisiae" "GIg1-2 Suppressor" "1509" "YLR094C" "S000004084" "ORF"
"P06367" "OTHER" "1" "RPS14A" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "721" "YCR031C" "S000000627" "ORF"
"P46950" "OTHER" "1" "SNG1" "S. cerevisiae" "" "1644" "YGR197C" "S000003429" "ORF"
"P31116" "OTHER" "1" "HOM6" "S. cerevisiae" "HOMoserine requiring" "1080" "YJR139C" "S000003900" "ORF"
"P40994" "OTHER" "1" "ARF3" "S. cerevisiae" "ADP-Ribosylation Factor" "552" "YOR094W" "S000005620" "ORF"
"P23542" "OTHER" "1" "AAT2" "S. cerevisiae" "Aspartate AminoTransferase" "1257" "YLR027C" "S000004017" "ORF"
"Q08225" "OTHER" "1" "" "S. cerevisiae" "" "2136" "YOL057W" "S000005418" "ORF"
"P38121" "OTHER" "1" "POL12" "S. cerevisiae" "POLymerase" "2118" "YBL035C" "S000000131" "ORF"
"P53309" "OTHER" "1" "YAP1802" "S. cerevisiae" "Yeast Assembly Polypeptide" "1707" "YGR241C" "S000003473" "ORF"
"P41056" "OTHER" "1" "RPL33B" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "851" "YOR234C" "S000005760" "ORF"
"P40024" "OTHER" "1" "ARB1" "S. cerevisiae" "ATP-binding cassette protein involved in Ribosome Biogenesis" "1833" "YER036C" "S000000838" "ORF"
"P43563" "OTHER" "1" "MOB2" "S. cerevisiae" "Mps One Binder" "978" "YFL034C-B" "S000001859" "ORF"
"P38125" "OTHER" "1" "DTR1" "S. cerevisiae" "DiTyRosine" "1719" "YBR180W" "S000000384" "ORF"
"P33750" "OTHER" "1" "SOF1" "S. cerevisiae" "Suppressor Of Fibrillarin" "1470" "YLL011W" "S000003934" "ORF"
"P22082" "OTHER" "1" "SNF2" "S. cerevisiae" "Sucrose NonFermenting" "5112" "YOR290C" "S000005816" "ORF"
"P16387" "OTHER" "1" "PDA1" "S. cerevisiae" "Pyruvate Dehydrogenase Alpha" "1263" "YER178W" "S000000980" "ORF"
"P06245" "OTHER" "1" "TPK2" "S. cerevisiae" "Takashi's Protein Kinase" "1143" "YPL203W" "S000006124" "ORF"
"P38195" "OTHER" "1" "ECM13" "S. cerevisiae" "ExtraCellular Mutant" "774" "YBL043W" "S000000139" "ORF"
"Q04636" "OTHER" "1" "POB3" "S. cerevisiae" "POl1 Binding" "1659" "YML069W" "S000004534" "ORF"
"Q02895" "OTHER" "1" "" "S. cerevisiae" "" "1029" "YPL088W" "S000006009" "ORF"
"P38903" "OTHER" "1" "RTS1" "S. cerevisiae" "Rox Three Suppressor" "2274" "YOR014W" "S000005540" "ORF"
"P41815" "OTHER" "1" "BAP3" "S. cerevisiae" "Branched-chain Amino acid Permease" "1815" "YDR046C" "S000002453" "ORF"
"P01098" "OTHER" "1" "STF1" "S. cerevisiae" "STabilizing Factor" "261" "YDL130W-A" "S000007232" "ORF"
"P11709" "OTHER" "1" "BIK1" "S. cerevisiae" "BIlateral Karyogamy defect" "1323" "YCL029C" "S000000534" "ORF"
"Q12154" "OTHER" "1" "GET3" "S. cerevisiae" "Guided Entry of Tail-anchored proteins" "1065" "YDL100C" "S000002258" "ORF"
"Q92317" "OTHER" "1" "NCB2" "S. cerevisiae" "Negative Cofactor B" "533" "YDR397C" "S000002805" "ORF"
"P38637" "OTHER" "1" "STS1" "S. cerevisiae" "Sec Twenty-three Suppressor 1" "960" "YIR011C" "S000001450" "ORF"
"P47818" "OTHER" "1" "CCC1" "S. cerevisiae" "Cross-Complements Ca(2+) phenotype of csg1" "969" "YLR220W" "S000004210" "ORF"
"Q06389" "OTHER" "1" "FRQ1" "S. cerevisiae" "FReQuenin homolog" "573" "YDR373W" "S000002781" "ORF"
"Q12165" "OTHER" "1" "ATP16" "S. cerevisiae" "ATP synthase" "483" "YDL004W" "S000002162" "ORF"
"Q08732" "OTHER" "1" "HRK1" "S. cerevisiae" "Hygromycin Resistance Kinase" "2280" "YOR267C" "S000005793" "ORF"
"P27809" "OTHER" "1" "KRE2" "S. cerevisiae" "Killer toxin REsistant" "1329" "YDR483W" "S000002891" "ORF"
"Q08226" "OTHER" "1" "CRT10" "S. cerevisiae" "Constitutive RNR Transcription regulators" "2874" "YOL063C" "S000005424" "ORF"
"Q06512" "OTHER" "1" "NOC4" "S. cerevisiae" "NucleOlar Complex associated" "1659" "YPR144C" "S000006348" "ORF"
"Q12389" "OTHER" "1" "DBP10" "S. cerevisiae" "Dead Box Protein" "2988" "YDL031W" "S000002189" "ORF"
"P38196" "OTHER" "1" "FUI1" "S. cerevisiae" "5-FlUorourIdine resistance" "1920" "YBL042C" "S000000138" "ORF"
"P32607" "OTHER" "1" "RTG1" "S. cerevisiae" "ReTroGrade regulation" "534" "YOL067C" "S000005428" "ORF"
"P12688" "OTHER" "1" "YPK1" "S. cerevisiae" "Yeast Protein Kinase" "2043" "YKL126W" "S000001609" "ORF"
"P40095" "OTHER" "1" "" "S. cerevisiae" "" "1722" "YER158C" "S000000960" "ORF"
"P38431" "OTHER" "1" "TIF5" "S. cerevisiae" "Translation Initiation Factor" "1218" "YPR041W" "S000006245" "ORF"
"P13181" "OTHER" "1" "GAL2" "S. cerevisiae" "GALactose metabolism" "1725" "YLR081W" "S000004071" "ORF"
"P38126" "OTHER" "1" "PCH2" "S. cerevisiae" "Pachytene CHeckpoint" "1808" "YBR186W" "S000000390" "ORF"
"P38197" "OTHER" "1" "" "S. cerevisiae" "" "774" "YBL036C" "S000000132" "ORF"
"Q06214" "OTHER" "1" "JIP5" "S. cerevisiae" "Jumonji domain Interacting Protein" "1479" "YPR169W" "S000006373" "ORF"
"P13090" "OTHER" "1" "ATR1" "S. cerevisiae" "AminoTriazole Resistance" "1629" "YML116W" "S000004584" "ORF"
"P38716" "OTHER" "1" "" "S. cerevisiae" "" "1137" "YHR112C" "S000001154" "ORF"
"Q06511" "OTHER" "1" "RRP15" "S. cerevisiae" "Ribosomal RNA Processing" "753" "YPR143W" "S000006347" "ORF"
"P34160" "OTHER" "1" "STO1" "S. cerevisiae" "Suppressor of TOp1" "2908" "YMR125W" "S000004732" "ORF"
"P10863" "OTHER" "1" "TIR1" "S. cerevisiae" "TIp1-Related" "765" "YER011W" "S000000813" "ORF"
"P38340" "OTHER" "1" "TAE1" "S. cerevisiae" "Translation Associated Element" "699" "YBR261C" "S000000465" "ORF"
"P53949" "OTHER" "1" "OCA2" "S. cerevisiae" "Oxidant-induced Cell cycle Arrest" "594" "YNL056W" "S000005001" "ORF"
"P53388" "OTHER" "1" "DIP5" "S. cerevisiae" "DIcarboxylic amino acid Permease" "1827" "YPL265W" "S000006186" "ORF"
"P53867" "OTHER" "1" "ATG4" "S. cerevisiae" "AuTophaGy related" "1485" "YNL223W" "S000005167" "ORF"
"P38865" "OTHER" "1" "CTR2" "S. cerevisiae" "Copper TRansport" "570" "YHR175W" "S000001218" "ORF"
"P16120" "OTHER" "1" "THR4" "S. cerevisiae" "THReonine requiring" "1545" "YCR053W" "S000000649" "ORF"
"P53868" "OTHER" "1" "ALG9" "S. cerevisiae" "Asparagine-Linked Glycosylation" "1668" "YNL219C" "S000005163" "ORF"
"Q08227" "OTHER" "1" "INP54" "S. cerevisiae" "INositol polyphosphate 5-Phosphatase" "1155" "YOL065C" "S000005426" "ORF"
"P34111" "OTHER" "1" "TFC3" "S. cerevisiae" "Transcription Factor class C" "3573" "YAL001C" "S000000001" "ORF"
"Q3E757" "OTHER" "1" "RPL11B" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "525" "YGR085C" "S000003317" "ORF"
"D6W196" "OTHER" "1" "SAL1" "S. cerevisiae" "Suppressor of Aac2 Lethality" "1485" "YNL083W" "S000005027" "ORF"
"P38198" "OTHER" "1" "STU1" "S. cerevisiae" "Suppressor of TUbulin" "4542" "YBL034C" "S000000130" "ORF"
"P40096" "OTHER" "1" "BUR6" "S. cerevisiae" "Bypass UAS Requirement" "429" "YER159C" "S000000961" "ORF"
"P53728" "OTHER" "1" "CPR8" "S. cerevisiae" "Cyclosporin-sensitive Proline Rotamase" "927" "YNR028W" "S000005311" "ORF"
"P43561" "OTHER" "1" "FET5" "S. cerevisiae" "FErrous Transport" "1869" "YFL041W" "S000001853" "ORF"
"P53869" "OTHER" "1" "MRX7" "S. cerevisiae" "Mitochondrial oRganization of gene eXpression (MIOREX)" "261" "YNL211C" "S000005155" "ORF"
"Q08295" "OTHER" "1" "IMA2" "S. cerevisiae" "IsoMAltase" "1770" "YOL157C" "S000005517" "ORF"
"Q06213" "OTHER" "1" "NUT2" "S. cerevisiae" "Negative regulation of URS Two" "474" "YPR168W" "S000006372" "ORF"
"P38127" "OTHER" "1" "RIM2" "S. cerevisiae" "Replication In Mitochondria" "1134" "YBR192W" "S000000396" "ORF"
"Q04779" "OTHER" "1" "RCO1" "S. cerevisiae" "" "2055" "YMR075W" "S000004680" "ORF"
"P21560" "OTHER" "1" "CBP3" "S. cerevisiae" "Cytochrome B mRNA Processing" "1008" "YPL215W" "S000006136" "ORF"
"P40202" "OTHER" "1" "CCS1" "S. cerevisiae" "Copper Chaperone for SOD1" "750" "YMR038C" "S000004641" "ORF"
"P33311" "OTHER" "1" "MDL2" "S. cerevisiae" "MultiDrug resistance-Like" "2322" "YPL270W" "S000006191" "ORF"
"Q05911" "OTHER" "1" "ADE13" "S. cerevisiae" "ADEnine requiring" "1449" "YLR359W" "S000004351" "ORF"
"Q12425" "OTHER" "1" "ISA2" "S. cerevisiae" "Iron Sulfur Assembly" "558" "YPR067W" "S000006271" "ORF"
"P07143" "OTHER" "1" "CYT1" "S. cerevisiae" "CYTochrome c1" "930" "YOR065W" "S000005591" "ORF"
"P32499" "OTHER" "1" "NUP2" "S. cerevisiae" "NUclear Pore" "2163" "YLR335W" "S000004327" "ORF"
"Q02896" "OTHER" "1" "YDC1" "S. cerevisiae" "Yeast DihydroCeramidase" "954" "YPL087W" "S000006008" "ORF"
"Q06580" "OTHER" "1" "MLC2" "S. cerevisiae" "Myo1p Light Chain" "492" "YPR188C" "S000006392" "ORF"
"P07172" "OTHER" "1" "HIS5" "S. cerevisiae" "HIStidine requiring" "1158" "YIL116W" "S000001378" "ORF"
"Q04632" "OTHER" "1" "COG8" "S. cerevisiae" "Conserved Oligomeric Golgi complex" "1824" "YML071C" "S000004536" "ORF"
"Q12363" "OTHER" "1" "WTM1" "S. cerevisiae" "WD repeat containing Transcriptional Modulator" "1314" "YOR230W" "S000005756" "ORF"
"P28496" "OTHER" "1" "LAC1" "S. cerevisiae" "Longevity-Assurance gene Cognate (LAG1 Cognate)" "1257" "YKL008C" "S000001491" "ORF"
"P38128" "OTHER" "1" "SMP1" "S. cerevisiae" "Second MEF2-like Protein 1" "1359" "YBR182C" "S000000386" "ORF"
"P38199" "OTHER" "1" "HEK2" "S. cerevisiae" "HEterogeneous nuclear rnp K-like gene" "1146" "YBL032W" "S000000128" "ORF"
"P31539" "OTHER" "1" "HSP104" "S. cerevisiae" "Heat Shock Protein" "2727" "YLL026W" "S000003949" "ORF"
"P10080" "OTHER" "1" "SBP1" "S. cerevisiae" "" "885" "YHL034C" "S000001026" "ORF"
"P32907" "OTHER" "1" "ATO2" "S. cerevisiae" "Ammonia (Ammonium) Transport Outward" "849" "YNR002C" "S000005285" "ORF"
"P31383" "OTHER" "1" "TPD3" "S. cerevisiae" "tRNA Processing Deficient" "1908" "YAL016W" "S000000014" "ORF"
"P32783" "OTHER" "1" "ABD1" "S. cerevisiae" "" "1311" "YBR236C" "S000000440" "ORF"
"P38523" "OTHER" "1" "MGE1" "S. cerevisiae" "Mitochondrial GrpE" "687" "YOR232W" "S000005758" "ORF"
"P32389" "OTHER" "1" "MET4" "S. cerevisiae" "METhionine requiring" "2019" "YNL103W" "S000005047" "ORF"
"P53729" "OTHER" "1" "" "S. cerevisiae" "" "1290" "YNR029C" "S000005312" "ORF"
"P43560" "OTHER" "1" "LAM5" "S. cerevisiae" "Lipid transfer protein Anchored at Membrane contact site" "2025" "YFL042C" "S000001852" "ORF"
"P38790" "OTHER" "1" "HTD2" "S. cerevisiae" "Hydroxyacyl-Thioester Dehydratase" "843" "YHR067W" "S000001109" "ORF"
"P40985" "OTHER" "1" "HUL4" "S. cerevisiae" "Hect Ubiquitin Ligase" "2679" "YJR036C" "S000003797" "ORF"
"P40021" "OTHER" "1" "ZRG8" "S. cerevisiae" "Zinc Regulated Gene" "3231" "YER033C" "S000000835" "ORF"
"P38866" "OTHER" "1" "FMO1" "S. cerevisiae" "Flavin containing MonoOxygenase" "1299" "YHR176W" "S000001219" "ORF"
"P32339" "OTHER" "1" "HMX1" "S. cerevisiae" "HeMe oXygenase" "954" "YLR205C" "S000004195" "ORF"
"P00854" "OTHER" "1" "ATP6" "S. cerevisiae" "ATP synthase" "780" "Q0085" "S000007268" "ORF"
"P53947" "OTHER" "1" "" "S. cerevisiae" "" "951" "YNL058C" "S000005003" "ORF"
"Q03180" "OTHER" "1" "PIR3" "S. cerevisiae" "Protein containing Internal Repeats" "978" "YKL163W" "S000001646" "ORF"
"P53865" "OTHER" "1" "CNM67" "S. cerevisiae" "Chaotic Nuclear Migration" "1746" "YNL225C" "S000005169" "ORF"
"Q04712" "OTHER" "1" "RRN11" "S. cerevisiae" "Regulation of RNA polymerase I" "1524" "YML043C" "S000004507" "ORF"
"Q02608" "OTHER" "1" "MRPS16" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Small subunit" "366" "YPL013C" "S000005934" "ORF"
"P48439" "OTHER" "1" "OST3" "S. cerevisiae" "OligoSaccharylTransferase" "1053" "YOR085W" "S000005611" "ORF"
"P0CE68" "OTHER" "1" "NFT1" "S. cerevisiae" "New Full-length MRP-type Transporter" "3657" "YKR103W" "S000001811" "ORF"
"P00937" "OTHER" "1" "TRP3" "S. cerevisiae" "TRyPtophan" "1455" "YKL211C" "S000001694" "ORF"
"P00127" "OTHER" "1" "QCR6" "S. cerevisiae" "ubiQuinol-cytochrome C oxidoReductase" "444" "YFR033C" "S000001929" "ORF"
"P38791" "OTHER" "1" "DYS1" "S. cerevisiae" "DeoxyhYpusine Synthase" "1164" "YHR068W" "S000001110" "ORF"
"P38867" "OTHER" "1" "ROF1" "S. cerevisiae" "Regulator Of Fluffy" "1362" "YHR177W" "S000001220" "ORF"
"P40092" "OTHER" "1" "SPI1" "S. cerevisiae" "Stationary Phase Induced" "447" "YER150W" "S000000952" "ORF"
"Q08816" "OTHER" "1" "TFB6" "S. cerevisiae" "" "1032" "YOR352W" "S000005879" "ORF"
"P38342" "OTHER" "1" "TSC10" "S. cerevisiae" "Temperature-sensitive Suppressors of Csg2 mutants" "963" "YBR265W" "S000000469" "ORF"
"P33314" "OTHER" "1" "BUD2" "S. cerevisiae" "BUD site selection" "3315" "YKL092C" "S000001575" "ORF"
"P53158" "OTHER" "1" "KXD1" "S. cerevisiae" "KxDL homolog" "657" "YGL079W" "S000003047" "ORF"
"P53866" "OTHER" "1" "SQS1" "S. cerevisiae" "SQuelch of Splicing suppression" "2304" "YNL224C" "S000005168" "ORF"
"P53727" "OTHER" "1" "BUD17" "S. cerevisiae" "BUD site selection" "954" "YNR027W" "S000005310" "ORF"
"Q00684" "OTHER" "1" "CDC14" "S. cerevisiae" "Cell Division Cycle" "1656" "YFR028C" "S000001924" "ORF"
"P32943" "OTHER" "1" "CLB6" "S. cerevisiae" "CycLin B" "1143" "YGR109C" "S000003341" "ORF"
"P36519" "OTHER" "1" "MRPL7" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "879" "YDR237W" "S000002645" "ORF"
"P49089" "OTHER" "1" "ASN1" "S. cerevisiae" "ASparagiNe requiring" "1719" "YPR145W" "S000006349" "ORF"
"P08466" "OTHER" "1" "NUC1" "S. cerevisiae" "NUClease" "990" "YJL208C" "S000003744" "ORF"
"P31384" "OTHER" "1" "CCR4" "S. cerevisiae" "Carbon Catabolite Repression" "2514" "YAL021C" "S000000019" "ORF"
"Q05902" "OTHER" "1" "ECM38" "S. cerevisiae" "ExtraCellular Mutant" "1983" "YLR299W" "S000004290" "ORF"
"P53012" "OTHER" "1" "SCS3" "S. cerevisiae" "Suppressor of Choline Sensitivity" "1143" "YGL126W" "S000003094" "ORF"
"Q08817" "OTHER" "1" "SOG2" "S. cerevisiae" "" "2376" "YOR353C" "S000005880" "ORF"
"Q12153" "OTHER" "1" "SSF2" "S. cerevisiae" "Suppressor of ste4 (Four)" "1362" "YDR312W" "S000002720" "ORF"
"P38203" "OTHER" "1" "LSM2" "S. cerevisiae" "Like SM" "416" "YBL026W" "S000000122" "ORF"
"Q04172" "OTHER" "1" "SHE9" "S. cerevisiae" "Sensitivity to High Expression" "1371" "YDR393W" "S000002801" "ORF"
"Q12132" "OTHER" "1" "USV1" "S. cerevisiae" "Up in StarVation" "1176" "YPL230W" "S000006151" "ORF"
